time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-13T04:33:22.170Z,33.1811676,-116.4256668,11.5,1.34,ml,46,36,0.08709,0.2,ci,ci40686392,2024-03-13T04:35:24.596Z,"10 km SSW of Borrego Springs, CA",earthquake,0.25,0.52,0.326,7,automatic,ci,ci
2024-03-13T04:22:26.250Z,19.3623332977295,-155.292495727539,0.280000001192093,1.75999999,md,19,60,0.02614,0.170000002,hv,hv74135601,2024-03-13T04:23:46.880Z,"10 km SW of Volcano, Hawaii",earthquake,0.22,0.370000005,0.569999993,16,automatic,hv,hv
2024-03-13T04:21:04.250Z,34.001,-116.3665,6.52,0.83,ml,19,150,0.06967,0.19,ci,ci40686384,2024-03-13T04:26:58.607Z,"13 km ENE of Desert Hot Springs, CA",earthquake,0.55,0.47,0.074,7,automatic,ci,ci
2024-03-13T03:59:48.640Z,38.8219986,-122.8105011,2.71,0.53,md,12,66,0.001434,0.01,nc,nc74016626,2024-03-13T04:01:23.019Z,"7 km NW of The Geysers, CA",earthquake,0.37,0.81,0.32,12,automatic,nc,nc
2024-03-13T03:57:23.197Z,31.591,-104.542,3.6936,1.5,ml,8,160,0.1,0.1,tx,tx2024fbwb,2024-03-13T04:11:12.653Z,"66 km SSW of Whites City, New Mexico",earthquake,0,2.70051572254155,0.2,6,automatic,tx,tx
2024-03-13T03:54:14.180Z,18.0491666666667,-66.7971666666667,14.71,2.3,md,7,136,0.1074,0.16,pr,pr71442868,2024-03-13T04:04:14.490Z,"3 km N of Guayanilla, Puerto Rico",earthquake,0.66,1.48,0.0996383145467443,5,reviewed,pr,pr
2024-03-13T03:41:00.770Z,35.7211667,-117.5463333,2.55,0.95,ml,23,63,0.1144,0.16,ci,ci40686376,2024-03-13T03:46:58.366Z,"14 km WSW of Searles Valley, CA",earthquake,0.28,0.51,0.198,11,automatic,ci,ci
2024-03-13T03:21:42.770Z,35.9233333,-117.6721667,3.22,1.93,ml,34,41,0.03023,0.16,ci,ci40686368,2024-03-13T03:28:36.252Z,"21 km E of Little Lake, CA",earthquake,0.16,0.4,0.131,25,automatic,ci,ci
2024-03-13T03:19:12.810Z,31.631,-104.504,6.6125,2.8,ml,12,74,0,0.1,tx,tx2024fbuv,2024-03-13T03:29:56.040Z,"61 km S of Whites City, New Mexico",earthquake,1.752030583710039,0.6762074283168121,0.1,11,reviewed,tx,tx
2024-03-13T03:03:25.240Z,35.9243333,-117.6733333,3.62,1.16,ml,26,41,0.03,0.14,ci,ci40686360,2024-03-13T03:09:18.087Z,"21 km E of Little Lake, CA",earthquake,0.17,0.37,0.129,18,automatic,ci,ci
2024-03-13T03:00:09.183Z,40.547,-119.7925,10.9,1.3,ml,5,266.48,0.38,0.1345,nn,nn00874673,2024-03-13T03:16:55.014Z,"38 km W of Empire, Nevada",earthquake,,6.5,0.19,4,reviewed,nn,nn
2024-03-13T02:55:10.250Z,65.8624,-151.0755,11.2,1.6,ml,,,,0.56,ak,ak0243crr0e2,2024-03-13T03:07:28.574Z,"57 km NW of Rampart, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-13T02:50:36.472Z,-15.0447,-73.214,85.805,4.7,mb,67,134,4.657,0.86,us,us6000miic,2024-03-13T04:25:35.096Z,"15 km N of Oyolo, Peru",earthquake,12.26,10.943,0.069,64,reviewed,us,us
2024-03-13T02:45:29.690Z,38.8253326,-122.8533325,2.09,1.09,md,16,105,0.00354,0.01,nc,nc74016611,2024-03-13T02:47:03.355Z,"10 km WNW of The Geysers, CA",earthquake,0.28,0.56,0.21,17,automatic,nc,nc
2024-03-13T02:39:31.400Z,38.803833,-122.7721634,1.35,1.71,md,28,66,0.01024,0.04,nc,nc74016606,2024-03-13T02:41:08.305Z,"3 km NNW of The Geysers, CA",earthquake,0.2,0.31,0.12,31,automatic,nc,nc
2024-03-13T02:37:45.670Z,38.8428345,-122.8161697,1.2,1.09,md,17,69,0.01307,0.04,nc,nc74016601,2024-03-13T02:39:18.241Z,"8 km WNW of Cobb, CA",earthquake,0.22,0.48,0.1,18,automatic,nc,nc
2024-03-13T02:28:49.140Z,38.783165,-122.762001,12.43,1.05,md,7,121,0.01277,0.07,nc,nc74016596,2024-03-13T02:30:22.060Z,"1 km NW of The Geysers, CA",earthquake,2.79,7.42,,1,automatic,nc,nc
2024-03-13T02:28:39.920Z,39.7179,-119.859,11.4,0.5,ml,6,84.44,0.136,0.1122,nn,nn00874672,2024-03-13T03:13:48.561Z,"9 km N of Lemmon Valley, Nevada",earthquake,,2.9,0.35,3,reviewed,nn,nn
2024-03-13T02:18:51.770Z,19.2651672363281,-155.399505615234,30.0599994659424,2.27999997,md,44,124,0.06912,0.140000001,hv,hv74135541,2024-03-13T02:20:47.050Z,"10 km NE of Pāhala, Hawaii",earthquake,0.47,0.629999995,0.239999995,8,automatic,hv,hv
2024-03-13T02:18:44.991Z,57.7126,-154.6124,55,2,ml,,,,0.23,ak,ak0243crj5mb,2024-03-13T02:20:29.875Z,"18 km NNW of Karluk, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-03-13T02:15:34.070Z,38.8193321,-122.7921677,2.55,1.25,md,23,36,0.01083,0.05,nc,nc74016586,2024-03-13T02:17:07.022Z,"6 km NNW of The Geysers, CA",earthquake,0.24,0.51,0.2,25,automatic,nc,nc
2024-03-13T02:14:13.650Z,38.8256683,-122.8531647,2.1,0.65,md,10,126,0.00345,0.01,nc,nc74016581,2024-03-13T02:15:46.957Z,"10 km WNW of The Geysers, CA",earthquake,0.34,0.96,0.46,11,automatic,nc,nc
2024-03-13T02:13:46.267Z,63.1505,-142.911,0,1.5,ml,,,,0.44,ak,ak0243cri34y,2024-03-13T02:15:33.753Z,"19 km W of Tetlin, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-03-13T02:08:46.860Z,38.8258324,-122.8539963,2.19,1.79,md,29,59,0.002824,0.02,nc,nc74016566,2024-03-13T02:11:48.075Z,"10 km WNW of The Geysers, CA",earthquake,0.18,0.32,0.16,31,automatic,nc,nc
2024-03-13T02:05:32.965Z,60.719,-146.7048,16.5,2.4,ml,,,,0.66,ak,ak0243crgcds,2024-03-13T02:07:38.346Z,"16 km S of Tatitlek, Alaska",earthquake,,0.1,,,automatic,ak,ak
2024-03-13T01:53:20.599Z,31.582,-104.531,3.944,1.6,ml,16,155,0.1,0.3,tx,tx2024fbrz,2024-03-13T02:16:41.815Z,"66 km NNE of Van Horn, Texas",earthquake,0,1.64848544516602,0.1,12,automatic,tx,tx
2024-03-13T01:39:04.290Z,38.8311653,-122.8381653,8.23,0.77,md,7,199,0.007702,0.06,nc,nc74016546,2024-03-13T01:40:37.514Z,"9 km NW of The Geysers, CA",earthquake,2.1,6.95,0.22,8,automatic,nc,nc
2024-03-13T01:36:38.390Z,38.8204994,-122.8241653,2.25,0.31,md,11,68,0.00888,0.02,nc,nc74016541,2024-03-13T01:38:12.524Z,"8 km NW of The Geysers, CA",earthquake,0.35,0.79,0.19,11,automatic,nc,nc
2024-03-13T01:35:58.860Z,38.8204994,-122.822998,2.32,0.76,md,14,82,0.009755,0.01,nc,nc74016536,2024-03-13T01:37:32.536Z,"8 km NW of The Geysers, CA",earthquake,0.3,0.62,0.16,16,automatic,nc,nc
2024-03-13T01:27:52.080Z,19.2973333333333,-155.3835,2.13,2.64,ml,46,97,0.03593,0.18,hv,hv74135491,2024-03-13T01:46:20.690Z,"14 km NE of Pāhala, Hawaii",earthquake,0.25,0.47,0.165636172362505,20,reviewed,hv,hv
2024-03-13T01:01:29.870Z,33.4655,-116.3906667,10.27,0.99,ml,36,92,0.1232,0.15,ci,ci40686336,2024-03-13T01:18:45.877Z,"23 km SSW of La Quinta, CA",earthquake,0.17,0.44,0.138,22,reviewed,ci,ci
2024-03-13T01:00:42.530Z,37.4780006,-118.8453369,2.98,1.19,md,12,195,0.1126,0.01,nc,nc74016526,2024-03-13T01:02:16.145Z,"17 km WSW of Toms Place, CA",earthquake,0.89,2.22,0.13,11,automatic,nc,nc
2024-03-13T00:58:46.996Z,63.3442,-145.4496,9.5,1.6,ml,,,,0.31,ak,ak0243cqkv78,2024-03-13T01:03:23.971Z,"29 km NNE of Paxson, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-03-13T00:56:16.430Z,38.8098335,-122.8366699,1.04,1.16,md,20,101,0.005524,0.02,nc,nc74016521,2024-03-13T00:57:51.176Z,"8 km WNW of The Geysers, CA",earthquake,0.19,0.42,0.18,21,automatic,nc,nc
2024-03-13T00:39:10.470Z,33.5083333,-116.5338333,9.66,0.73,ml,24,61,0.04909,0.14,ci,ci40686328,2024-03-13T01:19:22.403Z,"14 km ESE of Anza, CA",earthquake,0.22,0.39,0.155,11,reviewed,ci,ci
2024-03-12T23:52:29.199Z,60.1105,-141.392,3.1,2.2,ml,,,,0.8,ak,ak0243bgp5yf,2024-03-12T23:55:01.208Z,"112 km WNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-03-12T23:44:21.936Z,64.8878,-151.1105,13.8,1.6,ml,,,,0.49,ak,ak0243bgnfnu,2024-03-12T23:51:10.574Z,"25 km WSW of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-03-12T23:41:40.180Z,57.0388333333333,-135.624833333333,5.43,0.29,ml,4,181,,0.02,av,av92229426,2024-03-13T00:38:23.220Z,"17 km W of Sitka, Alaska",earthquake,0.87,1.04,0.377285223884503,4,reviewed,av,av
2024-03-12T23:41:39.351Z,64.0332,-148.7956,0,2,ml,,,,0.78,ak,ak0243bgmtv3,2024-03-12T23:43:29.066Z,"15 km E of Ferry, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-03-12T23:40:37.010Z,37.0779991,-121.5008316,7.58,1.7,md,29,49,0.04553,0.11,nc,nc74016506,2024-03-12T23:42:11.512Z,"10 km E of San Martin, CA",earthquake,0.26,0.69,0.2,26,automatic,nc,nc
2024-03-12T23:22:21.083Z,31.645,-104.195,6.0999,1.8,ml,19,80,0.1,0.2,tx,tx2024fbmz,2024-03-12T23:37:46.484Z,"52 km NW of Toyah, Texas",earthquake,0.6690215670772297,0.896336708544395,0.1,15,reviewed,tx,tx
2024-03-12T23:15:57.990Z,31.59,-104.534,3.9037,2,ml,8,156,0.1,0.1,tx,tx2024fbmt,2024-03-12T23:25:04.612Z,"66 km SSW of Whites City, New Mexico",earthquake,0,2.1986028916775706,0.1,6,automatic,tx,tx
2024-03-12T23:15:43.880Z,46.972166666666666,-122.22516666666667,-0.36,1.46,ml,28,152,0.01524,0.14,uw,uw61989641,2024-03-12T23:25:44.040Z,"1 km S of Kapowsin, Washington",explosion,0.35,31.61,0.20547211313844005,15,reviewed,uw,uw
2024-03-12T23:15:34.440Z,32.8748333,-116.0465,8.91,1.34,ml,38,39,0.06615,0.18,ci,ci40686320,2024-03-13T00:17:19.332Z,"16 km NNW of Ocotillo, CA",earthquake,0.18,0.58,0.159,26,reviewed,ci,ci
2024-03-12T23:07:49.810Z,36.0768333,-117.8643333,2.62,0.93,ml,17,63,0.04138,0.14,ci,ci40686304,2024-03-13T00:17:22.729Z,"8 km ENE of Coso Junction, CA",earthquake,0.25,0.26,0.294,9,reviewed,ci,ci
2024-03-12T23:04:48.187Z,31.678,-104.514,5.7922,1.6,ml,16,75,0,0.1,tx,tx2024fbmk,2024-03-12T23:48:31.793Z,"56 km SSW of Whites City, New Mexico",earthquake,0.8615288539379367,0.3948811872430689,0.1,11,reviewed,tx,tx
2024-03-12T23:04:38.205Z,51.5795,-175.0876,35,3.8,mb,44,201,0.661,0.62,us,us6000mihy,2024-03-12T23:38:05.040Z,"91 km SW of Atka, Alaska",earthquake,4.91,1.945,0.1,26,reviewed,us,us
2024-03-12T23:00:33.610Z,36.8396683,-121.2099991,12.02,1.1,md,4,168,0.09507,0.01,nc,nc74016491,2024-03-12T23:02:04.729Z,"11 km ENE of Tres Pinos, CA",earthquake,2.92,7.66,0.31,2,automatic,nc,nc
2024-03-12T22:50:28.250Z,38.8395004,-122.807663,7.68,0.86,md,7,120,0.01619,0.02,nc,nc74016481,2024-03-12T22:52:00.909Z,"8 km WNW of Cobb, CA",earthquake,1.11,7.68,0.01,3,automatic,nc,nc
2024-03-12T22:50:19.570Z,38.8185005,-122.7961655,2.38,1.08,md,19,54,0.01054,0.01,nc,nc74016476,2024-03-12T22:51:55.991Z,"6 km NW of The Geysers, CA",earthquake,0.26,0.53,0.06,23,automatic,nc,nc
2024-03-12T22:49:32.630Z,37.0071678,-121.4768295,5.72,1.24,md,11,144,0.01919,0.08,nc,nc74016471,2024-03-12T22:51:05.906Z,"8 km E of Gilroy, CA",earthquake,0.98,0.97,0.2,6,automatic,nc,nc
2024-03-12T22:43:27.590Z,19.2915,-155.385833333333,2,1.2,md,14,99,0.04168,0.11,hv,hv74135291,2024-03-13T01:05:16.210Z,"13 km NE of Pāhala, Hawaii",earthquake,0.29,0.51,0.18191383914287,20,reviewed,hv,hv
2024-03-12T22:26:00.737Z,62.262,-149.7785,16,1.9,ml,,,,0.41,ak,ak0243bfy3jq,2024-03-12T22:28:28.208Z,"11 km NNE of Susitna North, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-12T22:20:44.610Z,17.9226666666667,-66.2848333333333,12.91,2.26,md,12,187,0.116,0.14,pr,pr71442863,2024-03-12T22:30:47.510Z,"6 km SSE of Salinas, Puerto Rico",earthquake,0.55,0.42,0.32313891301478,6,reviewed,pr,pr
2024-03-12T22:12:12.930Z,33.4885,-116.5803333,10.19,1.15,ml,41,45,0.01993,0.17,ci,ci40686288,2024-03-13T00:17:43.768Z,"11 km SE of Anza, CA",earthquake,0.16,0.32,0.216,30,reviewed,ci,ci
2024-03-12T22:06:31.460Z,33.487,-116.5868333,10.42,1.8,ml,79,21,0.01571,0.19,ci,ci40686280,2024-03-13T00:18:39.730Z,"11 km SE of Anza, CA",earthquake,0.12,0.25,0.2,26,reviewed,ci,ci
2024-03-12T22:04:52.385Z,-11.9878,-74.6203,10.418,4.6,mb,29,111,2.174,0.82,us,us6000mihq,2024-03-12T23:00:35.643Z,"29 km NE of Salcabamba, Peru",earthquake,4.27,5.448,0.141,15,reviewed,us,us
2024-03-12T21:43:19.395Z,64.9896,-147.4085,4.7,1.5,ml,,,,0.49,ak,ak0243bfgcjl,2024-03-12T21:45:28.829Z,"10 km ENE of Fox, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-12T21:42:21.510Z,19.181999206543,-155.468673706055,34.689998626709,2.43000007,md,43,94,0.02716,0.109999999,hv,hv74135206,2024-03-12T21:44:11.850Z,"2 km SSE of Pāhala, Hawaii",earthquake,0.53,0.680000007,0.370000005,9,automatic,hv,hv
2024-03-12T21:37:42.850Z,19.2933333333333,-155.382666666667,4.21,1.81,md,36,101,0.03995,0.13,hv,hv74135201,2024-03-13T01:58:47.580Z,"14 km NE of Pāhala, Hawaii",earthquake,0.28,1.09,0.167318558679654,17,reviewed,hv,hv
2024-03-12T21:35:23.910Z,19.2649993896484,-155.402328491211,29.8799991607666,2.23000002,md,34,123,0.06984,0.140000001,hv,hv74135196,2024-03-12T21:37:16.760Z,"10 km NE of Pāhala, Hawaii",earthquake,0.48,0.75999999,0.0199999996,4,automatic,hv,hv
2024-03-12T21:30:19.270Z,19.5428333333333,-155.960166666667,12.13,1.73,md,18,237,0.06804,0.18,hv,hv74135186,2024-03-13T02:03:54.870Z,"2 km W of Honalo, Hawaii",earthquake,0.93,0.46,0.152743052706272,22,reviewed,hv,hv
2024-03-12T21:23:49.950Z,38.8264999,-122.7896652,1.65,1.3,md,18,43,0.01497,0.05,nc,nc74016456,2024-03-12T21:25:25.124Z,"6 km W of Cobb, CA",earthquake,0.26,0.58,0.25,20,automatic,nc,nc
2024-03-12T21:19:51.835Z,-16.5219,-74.3429,10,4.3,mb,17,146,4.238,0.83,us,us6000miht,2024-03-13T04:31:29.462Z,"80 km S of Atiquipa, Peru",earthquake,10.79,1.941,0.154,12,reviewed,us,us
2024-03-12T21:08:55.710Z,38.8413315,-122.8393326,1.99,0.75,md,10,88,0.004064,0.01,nc,nc74016451,2024-03-12T21:10:30.974Z,"10 km NW of The Geysers, CA",earthquake,0.35,0.73,0.09,12,automatic,nc,nc
2024-03-12T21:00:15.016Z,62.8424,-150.879,81.4,1.9,ml,,,,0.52,ak,ak0243bf74f1,2024-03-12T21:02:02.385Z,"39 km N of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-03-12T20:56:50.670Z,51.527,-175.0937,35,4.8,mb,71,131,0.826,0.93,us,us6000miha,2024-03-12T23:21:44.170Z,"96 km SW of Atka, Alaska",earthquake,2,1.9,0.042,177,reviewed,us,us
